date_of_screenshot,text
cnn202031,15
cnn2020310,19
cnn2020311,22
cnn2020312,30
cnn2020313,38
cnn202032,15
cnn202033,14
cnn202034,14
cnn202035,15
cnn202036,12
cnn202037,14
cnn202038,16
cnn202039,23
foxnews202031,28
foxnews2020311,42
foxnews2020312,78
foxnews2020313,94
foxnews202032,27
foxnews202033,29
foxnews202034,22
foxnews202035,33
foxnews202036,27
foxnews202037,44
foxnews202038,48
foxnews202039,49
nytimes202031,22
nytimes2020310,25
nytimes2020311,29
nytimes2020312,38
nytimes2020313,42
nytimes202032,25
nytimes202033,19
nytimes202034,25
nytimes202035,26
nytimes202036,34
nytimes202037,30
nytimes202039,15
washingtonpost202031,21
washingtonpost2020310,34
washingtonpost2020311,37
washingtonpost2020312,37
washingtonpost2020313,39
washingtonpost202032,21
washingtonpost202033,21
washingtonpost202034,25
washingtonpost202035,19
washingtonpost202036,21
washingtonpost202037,24
washingtonpost202038,19
washingtonpost202039,27
wsj202031,22
wsj2020310,31
wsj2020311,29
wsj2020312,29
wsj2020313,22
wsj202032,20
wsj202033,12
wsj202034,11
wsj202035,13
wsj202036,26
wsj202037,25
wsj202038,23
